id_persona	forma	interval_escolta	clip	small_subcadena	base_subcadena	small_limit_paraula	base_limit_paraula	consens_limit_paraula	text_small	text_base
pa-024	bueno	147.29-152.07	clips/pa-024__bueno__147.29.wav	no	no	no	no	no	I això és el que ha passat al país.	de la societat i de l'oportunitat de l'oportunitat.
pa-025	bueno	909.25-914.07	clips/pa-025__bueno__909.25.wav	no	no	no	no	no	De fet, és el mateix moment, l'any 90, el que ens molesta.	El que ens molestiu és el mateix moment.  El que ens molestiu és el mateix moment.
pa-026	bueno	194.89-200.75	clips/pa-026__bueno__194.89.wav	no	sí	no	sí	no	Bé, ben proposat, ben guanyat les eleccions del 89.	i bueno, vam proposar, vam guanyar les eleccions avui tant o no.
pa-027	bueno	35.13-40.47	clips/pa-027__bueno__35.13.wav	no	no	no	no	no	I bé, clar, jo per tot em va ser un cop,	I jo crec que va ser un cop, però jo crec que va ser un cop.
pa-028	bueno	28.37-32.59	clips/pa-028__bueno__28.37.wav	no	no	no	no	no	Bé, bé, bé, bé, bé, bé...  Bé, bé, bé, bé, bé, bé...	no ho sé, no ho sé, no ho sé.  Per l'aname la gent de Llea i va anomenar.
pa-029	bueno	720.69-724.19	clips/pa-029__bueno__720.69.wav	no	no	no	no	no	és menor, però aquestes dors són d'una manera important.	A més, menors, problemes que els dos són molt importants.
pa-030	bueno	459.05-463.07	clips/pa-030__bueno__459.05.wav	sí	sí	sí	sí	sí	No entenc massa, però bueno, no seré jo qui la canvio.	però bueno, no seré jo qui va canviar. Moltes coses.
pa-031	bueno	111.73-115.67	clips/pa-031__bueno__111.73.wav	no	no	no	no	no	A mi em pensava que jo pensava i els consellers, els companys de...	que jo pensava que les companys de la societat s'estava fent.
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	sí	sí	sí	sí	sí	I, bueno, l'últim, la psiga 4 que ens vam apuntar i vam dir que era capaç.	I bueno, l'últim bapsig que quatre que ens ho vam apuntar i van dir que era que fàcil.
pa-034	bueno	33.81-39.07	clips/pa-034__bueno__33.81.wav	no	no	no	no	no	Vaig continuar, vaig pujar les escales...	Vaig continuar i vaig pujar les escales.
pa-035	bueno	195.49-202.11	clips/pa-035__bueno__195.49.wav	no	no	no	no	no	I, bé, ja he participat, doncs, una mica, una mica.	i jo vaig participar d'un amic, una mica.
pa-036	bueno	76.25-84.15	clips/pa-036__bueno__76.25.wav	no	no	no	no	no	però, quan sentiu, és parlar d'aquesta gent  que està ben directament implicant-se  a la vida política de primera línia, tant d'Espanya.	però quan ho sentíves per la gent que està ben directament implicant  a la vida política de primera línia, tant d'Espanya.
pa-037	bueno	105.29-124.79	clips/pa-037__bueno__105.29.wav	sí	no	sí	no	no	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	d'acompanyar-se, d'acompanyar-se.
pa-038	bueno	874.61-878.11	clips/pa-038__bueno__874.61.wav	sí	sí	sí	sí	sí	"""Bueno, vale, ¿no?"""	Tima per rogue, bueno, vale, no?
pa-039	bueno	530.89-537.23	clips/pa-039__bueno__530.89.wav	no	sí	no	sí	no	Aquesta gent va reaccionar de la mateixa manera que els altres.	amb jo bastant, bueno, aquesta gent m'ha reaccionat  a la mateixa manera que els altres, per tant...
pa-041	bueno	165.25-173.75	clips/pa-041__bueno__165.25.wav	sí	no	sí	no	no	i que, bueno, que tingués més en compte les peculiaritats endurranes.	I quan tenies més en compte les peculiaritats endorranes econòmiques,
pa-043	bueno	0.00-3.75	clips/pa-043__bueno__0.00.wav	sí	sí	sí	sí	sí	Bueno, el 15 més 15 és una idea que venia de nada.	Bueno, el 15 mes 15 era idea que he venido nada.
pa-045	bueno	261.05-270.91	clips/pa-045__bueno__261.05.wav	no	sí	no	sí	no	Bé, sí, és evident, és un bon...	Fins i tot.  Bueno, sí.  És evident. No, és un bon...
pa-046	bueno	128.01-131.51	clips/pa-046__bueno__128.01.wav	no	no	no	no	no	No és el que ha de fer, sinó el que s'ha de fer.	La veritat és que no s'ha de viure.
pa-048	bueno	227.17-233.03	clips/pa-048__bueno__227.17.wav	no	no	no	no	no	Bé, però, juntant l'aigua, la pedra, la pedra feta pedra.	Però no, però una l'aigua a la pedra.  La pedra ha fet de pedra, de cada mes.
pa-049	bueno	269.05-275.83	clips/pa-049__bueno__269.05.wav	sí	no	sí	no	no	A vosaltres hi havia de més feia de... de més...  Sí, de més de descompte.  Bueno, de més de descompte...	El vostre aviat de més filla de més de d'escola.  De més de d'escola.
pa-051	bueno	41.97-47.43	clips/pa-051__bueno__41.97.wav	no	no	no	no	no	sempre l'estiu, l'Ibantes, fins que van moure el camp i que ja tenien...	Sempre les tils, quan hi vantes, fins que van moure el camp i que ja teníem...
pa-052	bueno	41.97-47.23	clips/pa-052__bueno__41.97.wav	sí	no	sí	no	no	(riu)  I, bueno, tinc certs germans.	i heu erro de dins de germans.
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	sí	sí	sí	sí	sí	I, bueno, era la primera fase.	I, bueno, és el primer fàjum i l'àmbit.
pa-055	bueno	194.93-200.67	clips/pa-055__bueno__194.93.wav	no	sí	no	sí	no	i bé, ben proposat, ben guanyat les eleccions del 89.	I bueno, ben proposa, ben poñales eleccions o buitant o nou.
pa-056	bueno	458.97-462.83	clips/pa-056__bueno__458.97.wav	no	sí	no	sí	no	No seré jo qui l'ha canviat.	Però bueno, no seré jo aquí va canvi, no? Moltes coses.
pa-057	bueno	1128.89-1136.35	clips/pa-057__bueno__1128.89.wav	no	no	no	no	no	de tot el que ens escondem a la foto del Consell d'aquell moment.	o a tots els hidrasconten a la foto del consell d'aquí el moment.
pa-058	bueno	23.17-28.91	clips/pa-058__bueno__23.17.wav	no	no	no	no	no	I es busca allà a fer sis propostes, es posen...	d'institució i a Bontes busquem a fer sis propostes,
pa-059	bueno	166.17-173.63	clips/pa-059__bueno__166.17.wav	sí	no	sí	no	no	Bueno, tothom ens deia que n'allem cap a una proporcional nacional.	Tothom ens deia que naïm cap a una proporcional nacional,
pa-060	bueno	150.05-157.07	clips/pa-060__bueno__150.05.wav	no	no	no	no	no	i que continuà, de bones vegades es va disoldre.  Vam canviar, vam...	I no ho sé, no ho sé, no ho sé.
pa-061	bueno	171.05-174.55	clips/pa-061__bueno__171.05.wav	sí	no	sí	no	no	Bueno, te n'has d'anar. Bueno, va.  Amb una cantina...	-No, no, no, no, no.  -Amb una cançó.
pa-062	bueno	297.17-302.03	clips/pa-062__bueno__297.17.wav	sí	sí	sí	sí	sí	"Diuen que és...  Bueno, hi ha una frase que diu ""El pot petit i la bona comfitada""."	Diuen que és...  Bueno, ja una frase que diu el pot petit i a la bona confinada.
pa-063	bueno	801.17-804.67	clips/pa-063__bueno__801.17.wav	no	no	no	no	no	i es veu que no es veu.  I després es veu el tema.	i després buscar els temps, també, perquè els temes...
pa-065	bueno	1389.05-1393.75	clips/pa-065__bueno__1389.05.wav	sí	no	sí	no	no	És així, eh?  Bueno, diuen que els cansats fan de feina.	Sí, sí.  No ho diuen, diuen que els cançats fan de feina.  No ho diuen.
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	sí	sí	sí	sí	sí	de la perifèria, i, bueno, jo recordo que he passat...	periferia i, bueno, jo recordo de passat, si no.
pa-001	clar	129.77-134.51	clips/pa-001__clar__129.77.wav	no	no	no	no	no	no és el mateix estar sobre l'empara de dos coprínciers	No es vol dir que no haurà d'explicar el sistema de l'empar de dos culprències.
pa-002	clar	186.25-190.75	clips/pa-002__clar__186.25.wav	sí	no	sí	no	no	i que, clar, la diferència de dalt et potser serà ple.	de llarga i que farò diferència de la tuts i de la pel·l.
pa-003	clar	451.89-459.15	clips/pa-003__clar__451.89.wav	sí	no	sí	no	no	Sí, perquè és clar, aviam, l'educació són persones.	d'aquesta manera, i amb l'educació, amb persones.
pa-005	clar	155.93-159.99	clips/pa-005__clar__155.93.wav	no	sí	no	sí	no	per dir-ho a la gent que ho va dir a l'Àfrica.	La gent que estava clar no podia realitzar.
pa-006	clar	379.25-383.75	clips/pa-006__clar__379.25.wav	sí	no	sí	no	no	Puc estar aigua, si hi hagués molta aigua, molt poca aigua, perquè, clar, aquí...	si hi haguessin multaigua i molt poc aigua, per què clau.
pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	sí	sí	sí	sí	sí	és clar que els polítics, pel nombre de carrers dedicats,	Està clar que els polítics, pel nombre de carrers dedicats,
pa-008	clar	841.25-846.75	clips/pa-008__clar__841.25.wav	sí	sí	sí	no	no	Clar, hem de pensar que els fallares que 87 van començar a tornar a cremar l'espai públic	Esclar, hem de pensar que els fallaïres que 87 van començar a tornar a cremar l'espai públic.
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	sí	sí	sí	sí	sí	els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.	dels habitants del poble i de pobles vens, és clar, que hi havia el mestre campaneu al poble.
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	sí	sí	sí	sí	sí	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	que ho són tan. Us arcojaré un parell d'exemplos i ho veureu més clar.
pa-014	clar	978.45-982.95	clips/pa-014__clar__978.45.wav	sí	no	sí	no	no	també ho puguem dir-ho, perquè és clar, tot el que ens ha passat no ho sabem segur.	m'he pogut mentir, perquè estan tot el que ens ha passat no ho sé d'emsoco.
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	sí	sí	sí	sí	sí	Tenim un objectiu molt clar i l'hem de solit.	I hem de tenir un objectiu molt clar i hem d'assolir.  Al fet de que...
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	sí	sí	sí	sí	sí	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	Nosaltres teníem clar que havíem de fer el pas,
pa-018	clar	112.73-117.35	clips/pa-018__clar__112.73.wav	no	no	no	no	no	i això és el que ha de fer per a aquests permanents.	La que passava era que els delegats permanents
pa-019	clar	415.25-419.75	clips/pa-019__clar__415.25.wav	sí	no	sí	no	no	el país. I, clar, trasladals i que la constitució no seria	que la Constitució seria un mirat amb el tema de la Constitució.
pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	sí	sí	sí	sí	sí	I quan vam entrar, el que sí que teníem,  clar que s'havia de fer la corte.	I com va m'entrar?  És que sí que teníem clar que s'havia de fer la curta.
pa-021	clar	125.89-131.23	clips/pa-021__clar__125.89.wav	no	sí	no	sí	no	i això els quins vam entrar.	Tornem amb pes i, clar, això els quins vam entrar.
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	sí	sí	sí	sí	sí	l'objectiu tenia molt clar que s'hi jugava molt.	L'objectiu tenia molt clar que t'he jugat molt.  Perquè si no se'n volia.
pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	sí	sí	sí	sí	sí	per tant, teníem clar al cap l'idea d'una constitució i la volia, sincerament.	Per tant, teníem clar el cap la idea de una constitució i la volia sincerament.
pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav	sí	sí	sí	sí	sí	i la política, però, clar, és que el govern també...	Però clar, és que el govern està més feliç.
pa-026	clar	6.33-9.67	clips/pa-026__clar__6.33.wav	no	sí	no	sí	no	i no el comú, amb quatre anys.	No ho comum, però és clar, amb 4 anys.
pa-027	clar	35.13-40.47	clips/pa-027__clar__35.13.wav	sí	no	sí	no	no	I bé, clar, jo per tot em va ser un cop,	I jo crec que va ser un cop, però jo crec que va ser un cop.
pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	sí	sí	sí	sí	sí	com veia perquè ell, clar, l'edat que té nieve i tanta època.	com ho veia, perquè el clar ho ha anat que t'inievo i tan de picot.
pa-029	clar	358.61-362.11	clips/pa-029__clar__358.61.wav	no	sí	no	sí	no	en aquell moment hi va haver un compromís, el 100%.	Clar que el moment hi va haver un compromís de 100%.
pa-030	clar	61.89-66.83	clips/pa-030__clar__61.89.wav	no	sí	no	sí	no	que no tenia res a veure amb ell.	I jo tenia molt clar que s'havia de canviar la manera de fer-ho.
pa-031	clar	154.57-158.95	clips/pa-031__clar__154.57.wav	sí	no	sí	no	no	No sé si els copríncepts, tampoc, no siguin clar,  veure el que sigui, el que podíem fer, no podíem arribar.	que el Príncep s'han pagut un clave del que sigui el que podi un feno,  podi un m'arribar.
pa-032	clar	155.33-162.15	clips/pa-032__clar__155.33.wav	sí	no	sí	no	no	Això és d'edat, i clar, això ja li teníem posat al cap.	i això hagi de tenir-ho amb posar-ho cap.  Això hauria de tenir-ho amb posar-ho cap.  Això hauria de tenir-ho amb posar-ho cap.
pa-033	clar	54.49-57.67	clips/pa-033__clar__54.49.wav	sí	no	sí	no	no	Si veiem interès per què, clar,	d'aquí a l'escola que va fer a l'escola que va fer a l'escola.
pa-034	clar	55.05-59.71	clips/pa-034__clar__55.05.wav	no	no	no	no	no	i el que va passar a l'estat espanyol.	i quan vaig arribar aquí a la sala d'espassos per dur,  està bé avui.
pa-035	clar	223.61-233.59	clips/pa-035__clar__223.61.wav	no	no	no	no	no	No podia sortir res de important, de banda de 6 constitucions.	S'ha dit que no podia sortir res de ben d'important davant de 6 constitucions.
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	sí	sí	sí	sí	sí	fos una mena d'eleccions ja amb un objectiu més clar que anar més enllà de les reformes que s'està fent,	Fos una mena de eleccions, ja amb un objectiu més clar,  que en el més enllà de les reformes que s'està fent,  si no hi ha d'anar d'aquestes.
pa-037	clar	186.29-198.91	clips/pa-037__clar__186.29.wav	sí	no	sí	no	no	Després, clar, quan va arribar cap al final de tot, ens van informar més.  Perquè a final havíem de votar que sí, sinó...	Després quan va arribar cap al final de tot ens van informar més,  perquè al final havíem de votar així, si no.
pa-038	clar	96.41-101.31	clips/pa-038__clar__96.41.wav	sí	sí	sí	sí	sí	però la meva motivació, us ho dic clar, va ser...	Però la meva motivació, no t'ho dic clar, va ser...
pa-039	clar	45.29-49.71	clips/pa-039__clar__45.29.wav	no	no	no	no	no	i el que hem de fer és anar a l'estiu de la qüestió.	de les xarxes i de les xarxes i de les xarxes i de les xarxes.
pa-041	clar	0.00-10.75	clips/pa-041__clar__0.00.wav	sí	sí	sí	sí	sí	Al principi es va començar amb 38 alumnes i clar amb els 5 o 6 anys que jo vaig col·laborar amb l'escola endurrana va anar a créixer.	A principis va començar amb 38 alumnes.  I, clar, amb els 5 o 6 anys que jo vaig col·laborar amb l'escala Endorana,  va anar a créixer.
pa-042	clar	101.97-106.63	clips/pa-042__clar__101.97.wav	no	no	no	no	no	I ja no podes fer el mateix que feies abans.	I ja no pots fer el mateix que faries abans.
pa-045	clar	399.85-405.95	clips/pa-045__clar__399.85.wav	sí	no	sí	no	no	amb la qual estava bastant clar, semblava bastant clar.	No ho he fet, no ho he fet, no ho he fet, no ho he fet, no ho he fet.
pa-046	clar	172.53-177.71	clips/pa-046__clar__172.53.wav	no	no	no	no	no	i el que hem de fer és que no hi hagi gaire malaltia.	per fer-ho tot el que heu de fer per fer-ho.
pa-048	clar	389.65-392.15	clips/pa-048__clar__389.65.wav	no	no	no	no	no	A mi m'agrada molt.	(aplaudiments)
pa-049	clar	382.01-390.11	clips/pa-049__clar__382.01.wav	sí	no	sí	no	no	i el país.  Clar, però feia falta aquesta visió,  adelantar-se els aconteixements, vull dir.  Sí, també.	Però això és el que hem de fer en l'home.  Però això és el que hem de fer en l'home.  Però feia falta aquesta visió  a adelantar-se els recompteixaments, vull dir.
pa-051	clar	161.85-167.07	clips/pa-051__clar__161.85.wav	sí	sí	no	no	no	entor, tronassorda i joclar això l'he rendat als remats.	en tor, per a una sort de joclar i això l'he rendat al remat.
pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	sí	sí	sí	sí	sí	Hi ha de bona ajuda, que és clar, amb els meus padrins.	Ja ho hauria de dir que és clar, més podrits.
pa-055	clar	6.29-9.67	clips/pa-055__clar__6.29.wav	no	sí	no	sí	no	i no el comú, amb quatre anys.	No comú, però és clar, amb quatre anys.
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	sí	sí	sí	sí	sí	Jo tenia molt clar que s'havia de canviar la manera de fer.	Això tenia molt clar de que s'havia de canviar a la manera d'exferir.
pa-057	clar	357.57-364.07	clips/pa-057__clar__357.57.wav	no	no	no	no	no	en aquells moments hi va haver un compromís de 100% territorial.	la que el moment hi va haver un compromís de 100% territorià.
pa-058	clar	112.81-117.27	clips/pa-058__clar__112.81.wav	no	no	no	no	no	no és el que ha de fer, no és el que ha de fer.	Que passarà bé, de què els delegats permanents?
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	sí	sí	sí	sí	sí	és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	Els altres teníem clar que havíem de fer el pas.
pa-061	clar	376.69-382.19	clips/pa-061__clar__376.69.wav	no	no	no	no	no	-És el seu. -Exacte.	Però per què eren el seu president?
pa-062	clar	202.37-208.31	clips/pa-062__clar__202.37.wav	no	sí	no	sí	no	i això ho he pogut trametre dins el meu petit negoci.	I clar, això ho he pogut tremetre a dins del meu petit,  d'aigua, sí, que també...
pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	sí	sí	sí	sí	sí	Però clar, aquest és un primer basc i després donar tot el món.	Però clar, aquest és un primer basque, després de donar el telomó.
pa-064	clar	109.97-115.87	clips/pa-064__clar__109.97.wav	sí	sí	sí	sí	sí	I clar, vostè, amb 97 anys, té molts records,	I clar, vostè en 97 anys té molts records, molts anys.
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	sí	sí	sí	sí	sí	És a dir, jo tinc clar que l'Evangeli és on tinc el macar.	Jo tinc clar que l'Evangeli és un tinc el macà.
pa-001	vull dir	621.37-625.39	clips/pa-001__vull-dir__621.37.wav	no	no	no	no	no	Els consuls van col·laborar també, però tampoc ho han fet.	I no ho sé, però no s'han de dir que t'has de dir que no hi hagi res.
pa-002	vull dir	172.25-176.75	clips/pa-002__vull-dir__172.25.wav	no	sí	no	sí	no	no sé si és un tutorial tampoc autoritària.	i no sóc un detallor i altem poc, tu, i tària, vull dir.
pa-004	vull dir	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	sí	sí	sí	sí	sí	d'en Valirà, vull dir que eren llocs molt elevats, i també es podia conregar.	d'en Valida, vull dir que era doncs llocs molt... molt elevats i també es podia conreure.
pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav	sí	sí	sí	sí	sí	el passat.  Així es començo jo sempre,  vull dir, com a voluntari divulgador del patrimoni  que tenim al nostre país.	El passat.  Aixís comenció sempre, vull dir com voluntari divulgador del patrimoni que tenim  el nostre país.
pa-016	vull dir	322.53-327.83	clips/pa-016__vull-dir__322.53.wav	sí	no	sí	no	no	d'esqueles que van fer, les van passar, vull dir, que va ser així.	de financers de les que van fer les van passar que va ser així però la nostra
pa-017	vull dir	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	sí	sí	sí	sí	sí	Vull dir, nosaltres entraiem en una proporcional nacional.	Vull dir que nosaltres ja entraiem a una proporcional nacional.
pa-020	vull dir	165.45-170.99	clips/pa-020__vull-dir__165.45.wav	no	no	no	no	no	Us agrua una mica després, companys que el conso o el segon conso,  sobretot...	Però no és una cosa que no és una cosa que no és una cosa que no.
pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	sí	sí	sí	sí	sí	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	I nosaltres, malgrat que no vull dir de que no vulguessim de cap manera, no?
pa-022	vull dir	308.17-312.27	clips/pa-022__vull-dir__308.17.wav	sí	no	sí	no	no	i també vull dir que van treballar les lleis que està en...	Evidentament, viatament, n'hi ha que van treballar les lleis que estan.
pa-023	vull dir	22.05-26.43	clips/pa-023__vull-dir__22.05.wav	sí	no	sí	no	no	Vull dir, els que fèiem part de la Junta Constitucional,	que fa en part de la Junta Constitucional.
pa-025	vull dir	643.73-649.59	clips/pa-025__vull-dir__643.73.wav	no	no	no	no	no	La realitat podria discutir  si vam fer una cosa o una altra, però tenim les actes.	I si vam fer una cosa d'una altra, però tenim les xarxes.
pa-026	vull dir	311.77-316.07	clips/pa-026__vull-dir__311.77.wav	sí	no	sí	no	no	que està adonant, vull dir, que vol ser un bon cap de govern.	Tadu-ne, per si un bon cap de còmode.
pa-027	vull dir	254.25-260.87	clips/pa-027__vull-dir__254.25.wav	no	no	no	no	no	però jo crec que el mèrit d'aquella comissió	Per tant, si no hi hauràs d'alguna de les eleccions,  però no hi hauràs d'alguna de les eleccions d'alguna de les eleccions.
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	sí	sí	sí	sí	sí	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.
pa-031	vull dir	207.77-212.75	clips/pa-031__vull-dir__207.77.wav	no	no	no	no	no	No ho sé, és que no és el meu cas.  No ho sé, és el meu cas.	No he deixat això, sí que m'han donat compte, però...
pa-032	vull dir	389.29-393.79	clips/pa-032__vull-dir__389.29.wav	sí	no	sí	no	no	i amb l'altre igual.  Sabeu què vull dir?  No és allò que m'he tingut un de dir ara aquest?	No és el que n'he tingut un dia a aquest moment.
pa-033	vull dir	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	sí	no	sí	no	no	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	"que el clar va dir ""tot amb ell i em va dir les exigències que tenia en el seu""."
pa-034	vull dir	58.29-61.51	clips/pa-034__vull-dir__58.29.wav	no	sí	no	sí	no	s'ha perdut, està bebuda de goma-goma.	S'ho és perdut, està bé, vull dir de goma goma, no em gent.
pa-036	vull dir	632.25-637.75	clips/pa-036__vull-dir__632.25.wav	sí	no	sí	no	no	Vull dir que era el nou reglament, el nou sistema.  Veius les dues coses, penso que la Constitució...	"""No ho sé, no ho sé, ho sé""."
pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	sí	sí	sí	sí	sí	Vull dir que una setefesó personal, sí que aquí mateix,  com he dit abans, perquè sabia que hi havia tensions entre els copríncepts.	Vull dir que unes setfes opes són altres, com a dintre l'ans,  perquè tenia sabia que hi havia tensions entre els coprinsets.
pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	sí	sí	sí	sí	sí	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	Ja et dic els agents exteriors, sigui ja no vull dir quins, però...
pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	sí	sí	sí	sí	sí	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	No vull dir potser de discursió,  però potser no s'aclava d'entendre bé.
pa-045	vull dir	779.57-785.23	clips/pa-045__vull-dir__779.57.wav	no	no	no	no	no	S'estan posant el llibertat de l'estat espanyol.	No ho sé.
pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	sí	sí	sí	sí	sí	Vull dir que amb això, vull dir que vostè, a través...	A més jo vull dir que vostè a través de la llei.
pa-049	vull dir	208.09-214.63	clips/pa-049__vull-dir__208.09.wav	sí	no	sí	no	no	Va fer una carta al president dels Estats Units  aprofitant que la família de la Moàbia, vull dir, aquella reina...	Va fer una carta al president dels EEUU,  aprofitant que la família, la Muàvia, voldia que la reina...
pa-055	vull dir	311.73-315.91	clips/pa-055__vull-dir__311.73.wav	sí	no	sí	no	no	que el que està adonant, vull dir, que vol ser un bon cap de govern.	Tadua, bé, que va sumar un cop de gorgard, no?
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	sí	sí	sí	sí	sí	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.
pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	sí	sí	sí	sí	sí	i demitots que gràcies a Déu que vull dir a l'Adri.	de mi tots, de què gràcies a Déu que vull dir a l'adria.
pa-059	vull dir	271.81-279.35	clips/pa-059__vull-dir__271.81.wav	sí	sí	sí	sí	sí	Vull dir, nosaltres entraiem amb una proporcional nacional.	Vull dir que nosaltres entraiem amb una proporcional nacional.
pa-060	vull dir	20.65-26.35	clips/pa-060__vull-dir__20.65.wav	sí	no	sí	no	no	el consell... vull dir, els que fem part de la Junta Constitucional,	de les eleccions de l'estat i de l'estat de l'estat i de l'estat.
pa-061	vull dir	193.57-200.03	clips/pa-061__vull-dir__193.57.wav	sí	no	sí	no	no	No hi havia res a en Dorre, vull dir, que tot era una gran novetat.	No hi havia res endor.  És que tot era una gran novetat.
pa-062	vull dir	316.81-326.39	clips/pa-062__vull-dir__316.81.wav	no	no	no	no	no	i el que hem de fer és que no hi hagi gaire malaltia.  I això és el que ha de fer a l'Estatut.  El que és molt important és que el que ha de fer,  és que el que ha de fer és que la gent no ho ha de fer.	Bé, aquesta confitura, si t'ho vols vendre,  m'ho has dit molt bé abans.  Te'ls veus davant passats?  Perquè em recordo que ells era fàcil.
pa-063	vull dir	822.45-827.51	clips/pa-063__vull-dir__822.45.wav	sí	no	sí	no	no	Vull dir, estem alçada de qualsevol país modern.	I ara ho hem d'anar a l'automàtica.  I ara ho hem d'anar a l'automàtica.
pa-065	vull dir	1401.05-1404.55	clips/pa-065__vull-dir__1401.05.wav	no	no	no	no	no	i quan hi ha una persona que no té un llibre,  i quan hi ha una persona que no té un llibre,	No és crític, no és un alcançament.
pa-001	o sigui	49.17-54.35	clips/pa-001__o-sigui__49.17.wav	no	no	no	no	no	i això va anar evolucionant el que era...	Bé, això van a evolucionar el que era...
pa-005	o sigui	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	sí	no	sí	no	no	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	n'ha de dir un format xar i dues fogaixes de pas, així que hi ha poques bromes.
pa-006	o sigui	136.25-143.75	clips/pa-006__o-sigui__136.25.wav	sí	no	sí	no	no	o sigui, rius de la plana.  No els rius que tenim aquí en les altres.  Surti i gata.	Si jo rius d'ava plana, no els rius que tenim per aquí amb els altres, sortig i gata.
pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	sí	sí	sí	sí	sí	però dintre de la mateixa campana, o sigui, a la vora,	Però d'intramar-te'ns campanat, o sigui, a la bona l'estructura normal.
pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	sí	sí	sí	sí	sí	És a dir, els homes amb barretina, o sigui, amb pantolons de ballut, negres, faixa i barretina vermella, camisa blanca, mitjons blancs i bigatans.	És a dir, els homes amb baratina, o sigui, amb pantolons de barit, nergres, faixa i baratina vermella,  que missa blanca, mitjons blancs, i vigatants.
pa-015	o sigui	104.25-109.75	clips/pa-015__o-sigui__104.25.wav	no	no	no	no	no	l'omenta, sigui que ha de desenvolupar unes estratègies.	Siguique, adretes un blupper o més estrategies.
pa-016	o sigui	311.25-316.15	clips/pa-016__o-sigui__311.25.wav	sí	no	sí	no	no	O sigui que s'han regulat, però molts anys després.	de vegades encara s'han regulat, però molts anys després.
pa-022	o sigui	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	sí	sí	sí	no	no	O sigui, al fondo el que es buscaveré tindrà una independència com a país.	No res a fer, bo sigui el fondo que és buscar haver-hi tindre una independència com a país.
pa-024	o sigui	554.49-565.07	clips/pa-024__o-sigui__554.49.wav	no	no	no	no	no	I tots coincidin amb la necessitat de fer un salt des del procés de reforma cap al procés constituent.	i el nostre, i tots coincidinem la necessitat de fer un sal des del procés de reforma cap a procés concituen.
