id_persona	forma	interval_escolta	clip	json_base	n_matches	token_match	token_matches
pa-056	tirar endavant	185.53-189.19	clips/pa-056__tirar-endavant__185.53.wav	qa-consens-base-json/pa-056__tirar-endavant__185_53.json	1	sí	"[{""start"":187.45,""end"":187.97,""p_min"":0.76871,""text"":""tirar endavant""}]"
pa-057	tirar endavant	56.61-63.15	clips/pa-057__tirar-endavant__56.61.wav	qa-consens-base-json/pa-057__tirar-endavant__56_61.json	1	sí	"[{""start"":61.76,""end"":62.41,""p_min"":0.604634,""text"":""tirar endavant""}]"
pa-059	tirar endavant	49.77-54.87	clips/pa-059__tirar-endavant__49.77.wav	qa-consens-base-json/pa-059__tirar-endavant__49_77.json	1	sí	"[{""start"":50.980000000000004,""end"":52.410000000000004,""p_min"":0.46064,""text"":""tirar endavant""}]"
pa-041	ensenyança	523.25-531.75	clips/pa-041__ensenyan-a__523.25.wav	qa-consens-base-json/pa-041__ensenyan-a__523_25.json	1	sí	"[{""start"":530.25,""end"":530.25,""p_min"":0.536144,""text"":""ensenyança""}]"
pa-022	reformeta	125.53-130.67	clips/pa-022__reformeta__125.53.wav	qa-consens-base-json/pa-022__reformeta__125_53.json	1	sí	"[{""start"":126.33,""end"":127.23,""p_min"":0.908741,""text"":""reformeta""}]"
pa-025	reformeta	1085.53-1091.51	clips/pa-025__reformeta__1085.53.wav	qa-consens-base-json/pa-025__reformeta__1085_53.json	1	sí	"[{""start"":1086.6499999999999,""end"":1087.81,""p_min"":0.465079,""text"":""reformeta""}]"
pa-026	reformeta	138.61-145.67	clips/pa-026__reformeta__138.61.wav	qa-consens-base-json/pa-026__reformeta__138_61.json	1	sí	"[{""start"":142.08,""end"":143.04000000000002,""p_min"":0.978449,""text"":""reformeta""}]"
pa-034	reformeta	191.33-198.59	clips/pa-034__reformeta__191.33.wav	qa-consens-base-json/pa-034__reformeta__191_33.json	1	sí	"[{""start"":197.05,""end"":197.74,""p_min"":0.854386,""text"":""reformeta""}]"
pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	qa-consens-base-json/pa-038__reformeta__1821_69.json	1	sí	"[{""start"":1824.92,""end"":1825.66,""p_min"":0.991388,""text"":""reformeta""}]"
pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	qa-consens-base-json/pa-055__reformeta__139_05.json	1	sí	"[{""start"":141.9,""end"":142.85000000000002,""p_min"":0.976069,""text"":""reformeta""}]"
